t=10,t=100,t=1000,t=10000
"('Mary Hardin-Baylor', 0.0246)","('Clemson', 0.0337)","('Clemson', 0.0476)","('Clemson', 0.0476)"
"('Clemson', 0.0144)","('Alabama', 0.0193)","('Alabama', 0.0271)","('Alabama', 0.0272)"
"('Mount Union', 0.0109)","('Mary Hardin-Baylor', 0.0176)","('Texas A&M', 0.0209)","('Texas A&M', 0.0209)"
"('Valdosta St', 0.0085)","('Texas A&M', 0.0148)","('Georgia', 0.019)","('Georgia', 0.019)"
"('Morningside', 0.0084)","('Georgia', 0.0134)","('Ohio State', 0.0174)","('Ohio State', 0.0174)"
"('Alabama', 0.0083)","('Ohio State', 0.0124)","('LSU', 0.0161)","('LSU', 0.0161)"
"(""St John's MN"", 0.0082)","('LSU', 0.0114)","('Florida', 0.0159)","('Florida', 0.0159)"
"('Ferris St', 0.008)","('Florida', 0.0113)","('Kentucky', 0.0153)","('Kentucky', 0.0154)"
"('Johns Hopkins', 0.0079)","('Kentucky', 0.0109)","('Notre Dame', 0.0151)","('Notre Dame', 0.0151)"
"('UW-Whitewater', 0.007)","('Notre Dame', 0.0108)","('Oklahoma', 0.0146)","('Oklahoma', 0.0146)"
"('Texas A&M', 0.0064)","('Oklahoma', 0.0104)","('Syracuse', 0.0146)","('Syracuse', 0.0146)"
"('North Dakota St', 0.0062)","('Syracuse', 0.0104)","('Auburn', 0.0132)","('Auburn', 0.0132)"
"('Georgia', 0.0058)","('Auburn', 0.0094)","('Texas', 0.0132)","('Texas', 0.0132)"
"('Ohio State', 0.0056)","('Texas', 0.0094)","('Northwestern', 0.0128)","('Northwestern', 0.0128)"
"('LSU', 0.0051)","('Northwestern', 0.0092)","('Pittsburgh', 0.0119)","('Pittsburgh', 0.0119)"
"('Muhlenberg', 0.005)","('Pittsburgh', 0.0085)","('Michigan', 0.0116)","('Michigan', 0.0116)"
"('Florida', 0.0049)","('Michigan', 0.0083)","('Missouri', 0.0114)","('Missouri', 0.0114)"
"('Benedictine KS', 0.0048)","('Missouri', 0.0081)","('South Carolina', 0.0114)","('South Carolina', 0.0114)"
"('Notre Dame', 0.0048)","('South Carolina', 0.0081)","('Iowa', 0.0107)","('Iowa', 0.0107)"
"('Oklahoma', 0.0048)","('Iowa', 0.0077)","('Purdue', 0.0105)","('Purdue', 0.0105)"
"('Kentucky', 0.0047)","('Washington St', 0.0076)","('Duke', 0.0105)","('Duke', 0.0105)"
"('Susquehanna', 0.0046)","('Duke', 0.0075)","('Penn State', 0.0104)","('Penn State', 0.0104)"
"('Bethel MN', 0.0046)","('Purdue', 0.0075)","('Washington St', 0.0104)","('Washington St', 0.0104)"
"('Syracuse', 0.0046)","('Penn State', 0.0074)","('Washington', 0.0101)","('Washington', 0.0102)"
"('Princeton', 0.0044)","('Washington', 0.0074)","('Oklahoma St', 0.0101)","('Oklahoma St', 0.0101)"
