,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0,index,0,0
0,11,states,0.038528,21,life,0.016365,153,war,0.016714,155,car,0.015245,352,doctor,0.013441,233,water,0.009315,31,thing,0.02375,290,editor,0.023093,17,case,0.025453,75,political,0.01936,218,father,0.055033,1,percent,0.026739,161,art,0.018368,0,company,0.046338,270,food,0.018801,265,computer,0.01798,173,television,0.028739,4,official,0.01626,5,game,0.024114,6,man,0.013453,291,contract,0.024929,49,money,0.016677,67,police,0.031604,7,city,0.028302,9,school,0.041017
1,24,country,0.019754,326,story,0.014083,188,military,0.015444,959,flight,0.009458,59,problem,0.012661,581,wall,0.00876,187,really,0.012395,485,article,0.015667,162,lawyer,0.024155,132,campaign,0.018082,324,son,0.047281,34,market,0.020235,138,music,0.015135,69,executive,0.038263,876,fresh,0.010518,74,system,0.013258,515,audience,0.015154,27,issue,0.013789,3,play,0.019665,19,woman,0.012638,66,job,0.020782,39,pay,0.016233,258,kill,0.020703,121,building,0.02363,58,student,0.027751
2,12,american,0.018065,277,love,0.011653,15,government,0.01281,418,travel,0.009071,254,cause,0.012396,23,place,0.00786,99,lot,0.012341,101,book,0.012073,126,court,0.024041,150,vote,0.016874,171,mrs,0.045049,47,price,0.018415,332,artist,0.013596,33,president,0.024262,144,serve,0.010477,427,technology,0.012864,321,movie,0.013825,32,member,0.01139,28,team,0.018047,476,wear,0.010729,35,yesterday,0.018395,2,state,0.01553,169,officer,0.01813,330,resident,0.017643,20,child,0.015458
3,15,government,0.01265,6,man,0.011624,12,american,0.012314,350,plant,0.008919,202,health,0.011299,355,mile,0.007492,42,ask,0.011222,661,publish,0.012024,88,charge,0.018807,120,party,0.013668,252,mother,0.036775,140,stock,0.013408,473,dance,0.008449,36,business,0.02237,466,restaurant,0.010002,163,information,0.011355,184,film,0.013009,137,decision,0.010582,40,win,0.016211,18,tell,0.009845,143,sign,0.017804,134,tax,0.013379,4,official,0.016773,102,area,0.013385,282,class,0.014289
4,465,foreign,0.007778,70,write,0.011442,63,force,0.011049,823,plane,0.008593,389,patient,0.011237,877,tree,0.007129,87,feel,0.011145,70,write,0.011285,48,law,0.017529,216,election,0.01349,459,daughter,0.033818,97,rate,0.011021,275,performance,0.00795,157,chief,0.018399,918,taste,0.008917,367,available,0.010547,3,play,0.012143,198,meeting,0.010233,103,player,0.015881,65,night,0.009272,293,manager,0.017616,257,budget,0.013033,6,man,0.014523,149,build,0.013074,358,college,0.013859
5,4,official,0.00765,417,character,0.010972,84,leader,0.010674,396,air,0.008571,100,drug,0.01107,295,foot,0.00666,50,put,0.010746,139,study,0.009824,313,judge,0.017038,253,republican,0.013446,433,graduate,0.029578,152,rise,0.010895,376,perform,0.007786,391,vice,0.014425,721,pound,0.008148,219,site,0.008515,438,star,0.011181,8,plan,0.008406,53,season,0.014843,130,room,0.008602,39,pay,0.01277,13,program,0.012386,22,report,0.013826,82,house,0.012059,13,program,0.013676
6,221,national,0.00693,101,book,0.009605,24,country,0.010433,881,traffic,0.00821,539,medical,0.009101,71,small,0.006595,68,little,0.010482,562,writer,0.008876,404,trial,0.013318,319,candidate,0.012491,44,family,0.028971,79,sell,0.010375,361,piece,0.007701,225,chairman,0.012269,41,add,0.007755,328,product,0.008036,694,producer,0.009978,377,committee,0.007268,25,second,0.013686,115,young,0.008052,278,union,0.011694,86,cost,0.012269,268,fire,0.012589,220,community,0.01182,409,education,0.013354
7,207,rule,0.00674,19,woman,0.009093,547,peace,0.008114,965,vehicle,0.007951,1,percent,0.008557,977,paint,0.005789,222,happen,0.010103,360,research,0.007396,477,legal,0.011226,84,leader,0.012281,754,marry,0.023236,131,sale,0.01023,578,museum,0.007409,170,industry,0.011686,1044,cook,0.007545,0,company,0.007938,138,music,0.009559,334,process,0.007204,292,victory,0.009724,177,friend,0.008004,279,general,0.010407,182,bill,0.012228,558,arrest,0.011959,237,street,0.010671,507,teacher,0.010797
8,857,ban,0.006497,3,play,0.007821,11,states,0.007966,355,mile,0.007863,785,treatment,0.008477,29,large,0.005511,181,kind,0.009511,482,page,0.007205,2,state,0.010647,383,democratic,0.011099,118,receive,0.019899,98,fall,0.009262,276,present,0.007304,301,firm,0.009907,741,eat,0.007278,262,design,0.007808,523,theater,0.007764,30,public,0.007155,228,score,0.009171,371,sit,0.007502,104,deal,0.010117,91,cut,0.011212,190,attack,0.010147,72,live,0.010604,294,parent,0.010027
9,815,chinese,0.006372,115,young,0.007655,546,nations,0.006986,471,train,0.007848,932,disease,0.007706,350,plant,0.005271,46,big,0.008919,192,history,0.006714,443,file,0.010445,2,state,0.010044,380,wife,0.018271,235,bank,0.00892,760,exhibition,0.00724,55,director,0.009749,251,oil,0.006917,317,develop,0.006931,594,song,0.007738,136,meet,0.007138,14,point,0.008631,42,ask,0.007419,520,agent,0.010073,93,increase,0.010079,35,yesterday,0.008924,179,local,0.010168,10,group,0.008108
